id,sku,brand,old_type,new_type,sub_type,changed,name
3230,25287AL0,GROHE,sen-am-tuong,sen-am-tuong,nhiet-do,,"Bộ sen tắm âm tường ổn nhiệt tròn Essence 2 đường nước GROHE 25287AL0"
3231,26443000,GROHE,sen-am-tuong,sen-am-tuong,nhiet-do,,"Bộ sen âm tường nhiệt độ 2 đường nước Rainshower System SmartControl Duo 360 GROHE 26443000"
3232,34742000,GROHE,sen-am-tuong,sen-am-tuong,nhiet-do,,"Bộ sen âm tường nhiệt độ 2 đường nước Grohtherm SmartControl GROHE 34742000"
3233,26446000,GROHE,sen-am-tuong,sen-am-tuong,nhiet-do,,"Bộ sen âm tường nhiệt độ 2 đường nước Rainshower System SmartControl Mono 360 GROHE 26446000"
3234,NCN212CO+T57140,MOEN,sen-am-tuong,sen-am-tuong,1-duong,,"Bộ vòi sen MOEN NCN212CO kèm T57140"
3235,M22063+120067+T57143+57948,MOEN,sen-am-tuong,sen-am-tuong,1-duong,,"Bộ vòi sen MOEN M22063 kèm 120067, T57143, 57948"
3236,M22063+120067+T57143+A805-30+A725,MOEN,sen-am-tuong,sen-am-tuong,1-duong,,"Bộ vòi sen MOEN M22063 kèm 120067, T57143, A805-30, A725"
3237,M22061+120067+T63142+T63948,MOEN,sen-am-tuong,sen-am-tuong,1-duong,,"Bộ vòi sen MOEN M22061 kèm 120067, T63142, T63948"
3238,T66145,MOEN,sen-am-tuong,sen-am-tuong,1-duong,,"Bộ cần sen tắm âm tường Thermostatic MOEN T66145"
3239,2599,MOEN,sen-am-tuong,sen-am-tuong,1-duong,,"Bộ vòi sen tắm âm tường MOEN 2599 nóng lạnh"
3240,153801,MOEN,sen-am-tuong,sen-am-tuong,1-duong,,"Bộ vòi sen tắm âm tường MOEN 153801 nóng lạnh"
3241,L2383,MOEN,sen-am-tuong,sen-am-tuong,1-duong,,"Bộ vòi sen tắm âm tường MOEN L2383 nóng lạnh"
3242,T2193BN,MOEN,sen-am-tuong,sen-am-tuong,1-duong,,"Bộ vòi sen tắm âm tường nóng lạnh mạ Nikel mờ MOEN Align T2193BN"
3243,T2529,MOEN,sen-am-tuong,sen-am-tuong,1-duong,,"Bộ vòi sen tắm âm tường MOEN T2529 nóng lạnh"
3244,T3113ORB,MOEN,sen-am-tuong,sen-am-tuong,1-duong,,"Bộ vòi sen tắm âm tường nóng lạnh màu đồng đen MOEN Kingsley T3113ORB"
3245,TS3713,MOEN,sen-am-tuong,sen-am-tuong,1-duong,,"Bộ vòi sen tắm âm tường nóng lạnh MOEN 90 Degree TS3713"
3246,M22050+T57146+A806-30+A725,MOEN,sen-am-tuong,sen-am-tuong,1-duong,,"Sen tắm âm MOEN M22050 kèm T57146, A806-30, A725"
