product_id,sku,subcategory_slug,name,current_product_type,proposed_product_type,heuristic_reason
39540,HAL-R/MAL-2,gach-op-tuong,Gạch ốp tường MELVIO ALDEA INAX HAL-R/MAL,,gach-op-tuong,subcategory-direct-map
7860,INAX-255/PPC-103,gach-op-tuong,Gạch ốp tường PASTEL PLAIN COLOR INAX-255/PPC,,gach-op-tuong,subcategory-direct-map
39542,INAX-255/PPC-209,gach-op-tuong,Gạch ốp tường PASTEL PLAIN COLOR INAX-255/PPC,,gach-op-tuong,subcategory-direct-map
39543,INAX-255/PPC-207,gach-op-tuong,Gạch ốp tường PASTEL PLAIN COLOR INAX-255/PPC,,gach-op-tuong,subcategory-direct-map
39544,INAX-255/PPC-204,gach-op-tuong,Gạch ốp tường PASTEL PLAIN COLOR INAX-255/PPC,,gach-op-tuong,subcategory-direct-map
39545,INAX-255/PPC-133,gach-op-tuong,Gạch ốp tường PASTEL PLAIN COLOR INAX-255/PPC,,gach-op-tuong,subcategory-direct-map
39546,INAX-255/PPC-123,gach-op-tuong,Gạch ốp tường PASTEL PLAIN COLOR INAX-255/PPC,,gach-op-tuong,subcategory-direct-map
39547,INAX-255/PPC-93,gach-op-tuong,Gạch ốp tường PASTEL PLAIN COLOR INAX-255/PPC,,gach-op-tuong,subcategory-direct-map
39548,INAX-255/PPC-63,gach-op-tuong,Gạch ốp tường PASTEL PLAIN COLOR INAX-255/PPC,,gach-op-tuong,subcategory-direct-map
39549,INAX-255/PPC-33,gach-op-tuong,Gạch ốp tường PASTEL PLAIN COLOR INAX-255/PPC,,gach-op-tuong,subcategory-direct-map
39550,INAX-255/PPC-23,gach-op-tuong,Gạch ốp tường PASTEL PLAIN COLOR INAX-255/PPC,,gach-op-tuong,subcategory-direct-map
39551,INAX-255/PPC-21,gach-op-tuong,Gạch ốp tường PASTEL PLAIN COLOR INAX-255/PPC,,gach-op-tuong,subcategory-direct-map
39552,INAX-255/PPC-11,gach-op-tuong,Gạch ốp tường PASTEL PLAIN COLOR INAX-255/PPC,,gach-op-tuong,subcategory-direct-map
