lane,product_id,sku,name,subcategory_slug,current_product_type,proposed_product_type,taxon_id,proposed_primary_taxon_slug,proposed_primary_taxon_path
gach-op-lat,39459,INAX-355-VIZ-7N,Gạch ốp tường 355-VIZ INAX-355VIZ (INAX355VIZ),gach-op-tuong,,,32,gach-op-tuong,gach-op-lat/gach-op-tuong
gach-op-lat,39460,INAX-355-VIZ-6N,Gạch ốp tường 355-VIZ INAX-355VIZ (INAX355VIZ),gach-op-tuong,,,32,gach-op-tuong,gach-op-lat/gach-op-tuong
gach-op-lat,39461,INAX-355-VIZ-5N,Gạch ốp tường 355-VIZ INAX-355VIZ (INAX355VIZ),gach-op-tuong,,,32,gach-op-tuong,gach-op-lat/gach-op-tuong
gach-op-lat,39462,INAX-355-VIZ-4N,Gạch ốp tường 355-VIZ INAX-355VIZ (INAX355VIZ),gach-op-tuong,,,32,gach-op-tuong,gach-op-lat/gach-op-tuong
gach-op-lat,39463,INAX-355-VIZ-3N,Gạch ốp tường 355-VIZ INAX-355VIZ (INAX355VIZ),gach-op-tuong,,,32,gach-op-tuong,gach-op-lat/gach-op-tuong
gach-op-lat,39464,INAX-355-VIZ-2N,Gạch ốp tường 355-VIZ INAX-355VIZ (INAX355VIZ),gach-op-tuong,,,32,gach-op-tuong,gach-op-lat/gach-op-tuong
gach-op-lat,39465,INAX-355-VIZ-1N,Gạch ốp tường 355-VIZ INAX-355VIZ (INAX355VIZ),gach-op-tuong,,,32,gach-op-tuong,gach-op-lat/gach-op-tuong
gach-op-lat,39466,INAX-355/EAC-4,Gạch ốp tường 355/EAC-EARTH COLOR BORDER INAX-355/EAC,gach-op-tuong,,,32,gach-op-tuong,gach-op-lat/gach-op-tuong
gach-op-lat,39467,INAX-355/EAC-3,Gạch ốp tường 355/EAC-EARTH COLOR BORDER INAX-355/EAC,gach-op-tuong,,,32,gach-op-tuong,gach-op-lat/gach-op-tuong
gach-op-lat,39468,INAX-355/EAC-2,Gạch ốp tường 355/EAC-EARTH COLOR BORDER INAX-355/EAC,gach-op-tuong,,,32,gach-op-tuong,gach-op-lat/gach-op-tuong
gach-op-lat,39469,INAX-20B/BB-3,Gạch ốp tường BB-BAMBOO BORDER INAX-20B/BB,gach-op-tuong,,,32,gach-op-tuong,gach-op-lat/gach-op-tuong
gach-op-lat,39470,INAX-20B/BB-2,Gạch ốp tường BB-BAMBOO BORDER INAX-20B/BB,gach-op-tuong,,,32,gach-op-tuong,gach-op-lat/gach-op-tuong
gach-op-lat,39471,HAL-155/CEF-2,Gạch ốp tường CELAVIO E INAX HAL-155/CEF,gach-op-tuong,,,32,gach-op-tuong,gach-op-lat/gach-op-tuong
gach-op-lat,39472,IM-1520P1/BL-2,Gạch ốp tường BL-BULLION BORDER INAX IM-1520P1/BL,gach-op-tuong,,,32,gach-op-tuong,gach-op-lat/gach-op-tuong
gach-op-lat,39473,INAX-40B/CK-6,Gạch ốp tường CHECKER INAX-40B/CK,gach-op-tuong,,,32,gach-op-tuong,gach-op-lat/gach-op-tuong
gach-op-lat,39474,INAX-40B/CK-3,Gạch ốp tường CHECKER INAX-40B/CK,gach-op-tuong,,,32,gach-op-tuong,gach-op-lat/gach-op-tuong
gach-op-lat,39475,HAL-35B/GRA-M4,Gạch ốp tường CELAVIOGRAN A INAX HAL-35B/GRA,gach-op-tuong,,,32,gach-op-tuong,gach-op-lat/gach-op-tuong
gach-op-lat,39476,HAL-35B/GRA-M3,Gạch ốp tường CELAVIOGRAN A INAX HAL-35B/GRA,gach-op-tuong,,,32,gach-op-tuong,gach-op-lat/gach-op-tuong
gach-op-lat,39477,HAL-35B/GRA-M2,Gạch ốp tường CELAVIOGRAN A INAX HAL-35B/GRA,gach-op-tuong,,,32,gach-op-tuong,gach-op-lat/gach-op-tuong
