id,sku,brand,variant_group,old_name,new_name,old_slug,new_slug,changed
2690,"TBW01004A/TBW01010A/TBS02001B/TBS02304B/TBV01103B/","TOTO","TBS02001B","Set sen tắm âm tường 3 đường nước nóng lạnh TOTO GLOBAL FITTINGS TBW01004A TBW01004A/TBW01010A/TBS02001B/TBS02304B/TBV01103B/TBN01102B/TBW01014B/TBW01016B","Set sen tắm TOTO TBS02001B kèm bát sen TBW01004A, bát sen TBW01010A, vòi sen TBS02304B, van TBV01103B","set-sen-tam-am-tuong-3-duong-nuoc-nong-lanh-toto-global-fittings-tbw01004a-tbw01004atbw01010atbs02001btbs02304btbv01103btbn01102btbw01014btbw01016b","set-sen-tam-toto-tbs02001b-kem-bat-sen-tbw01004a-bat-sen-tbw01010a-voi-sen-tbs02304b-van-tbv01103b",YES
2145,"TBW01004A/TBW01010A/TBW01016B/TBW07020A/TBG02001B/","TOTO","TBG02001B","Set sen tắm âm tường 3 đường nước nhiệt độ TOTO TBW01004A TBW01004A/TBW01010A/TBW01016B/TBW07020A/TBG02001B/TBV01102B/TBN01101B/TBV01406B/TBN01001B","Set sen tắm TOTO TBG02001B kèm bát sen TBW01004A, bát sen TBW01010A, bát sen TBW01016B, bát sen TBW07020A","set-sen-tam-am-tuong-3-duong-nuoc-nhiet-do-toto-tbw01004a-tbw01004atbw01010atbw01016btbw07020atbg02001btbv01102btbn01101btbv01406btbn01001b","set-sen-tam-toto-tbg02001b-kem-bat-sen-tbw01004a-bat-sen-tbw01010a-bat-sen-tbw01016b-bat-sen-tbw07020a",YES
2682,"TBW01004A/TBW01010A/TBW01016B/TBW07020A/TBV01408B/","TOTO","TBW01004A","Set sen tắm âm tường 2 đường nước nhiệt độ TOTO TBW01004A TBW01010A TBW01004A/TBW01010A/TBW01016B/TBW07020A/TBV01408B/TBN01001B","Set sen tắm TOTO TBW01004A kèm bát sen TBW01010A, bát sen TBW01016B, bát sen TBW07020A, van TBV01408B","set-sen-tam-am-tuong-2-duong-nuoc-nhiet-do-toto-tbw01004a-tbw01010a-tbw01004atbw01010atbw01016btbw07020atbv01408btbn01001b","set-sen-tam-toto-tbw01004a-kem-bat-sen-tbw01010a-bat-sen-tbw01016b-bat-sen-tbw07020a-van-tbv01408b",YES
2686,"TBW01004A/TBW07012A/TBW01016B/TBW01014B/TBV01408B/","TOTO","TBW01004A","Set sen tắm âm tường 2 đường nước nhiệt độ TOTO TBW01004A TBW07012A TBW01004A/TBW07012A/TBW01016B/TBW01014B/TBV01408B/TBN01001B","Set sen tắm TOTO TBW01004A kèm bát sen TBW07012A, bát sen TBW01016B, bát sen TBW01014B, van TBV01408B","set-sen-tam-am-tuong-2-duong-nuoc-nhiet-do-toto-tbw01004a-tbw07012a-tbw01004atbw07012atbw01016btbw01014btbv01408btbn01001b","set-sen-tam-toto-tbw01004a-kem-bat-sen-tbw07012a-bat-sen-tbw01016b-bat-sen-tbw01014b-van-tbv01408b",YES
2122,"TBW01008A/TBW01016B/TBW01014B/TBG01303BA/TBN01001B","TOTO","TBG01303BA","Set sen tắm âm tường 1 đường nước nóng lạnh TOTO TBW01008A TBW01016B TBW01014B TBG01303BA TBN01001B TBW01008A/TBW01016B/TBW01014B/TBG01303BA/TBN01001B","Set sen tắm TOTO TBG01303BA kèm bát sen TBW01008A, bát sen TBW01016B, bát sen TBW01014B, van TBN01001B","set-sen-tam-am-tuong-1-duong-nuoc-nong-lanh-toto-tbw01008a-tbw01016b-tbw01014b-tbg01303ba-tbn01001b-tbw01008atbw01016btbw01014btbg01303batbn01001b","set-sen-tam-toto-tbg01303ba-kem-bat-sen-tbw01008a-bat-sen-tbw01016b-bat-sen-tbw01014b-van-tbn01001b",YES
2120,"TBW01008A/TBW01016B/TBW01014B/TBV01407B/TBN01001B","TOTO","TBW01008A","Set sen tắm âm tường 1 đường nước nhiệt độ TOTO TBW01008A TBW01016B TBW01014B TBV01407B TBN01001B TBW01008A/TBW01016B/TBW01014B/TBV01407B/TBN01001B","Set sen tắm TOTO TBW01008A kèm bát sen TBW01016B, bát sen TBW01014B, van TBV01407B, van TBN01001B","set-sen-tam-am-tuong-1-duong-nuoc-nhiet-do-toto-tbw01008a-tbw01016b-tbw01014b-tbv01407b-tbn01001b-tbw01008atbw01016btbw01014btbv01407btbn01001b","set-sen-tam-toto-tbw01008a-kem-bat-sen-tbw01016b-bat-sen-tbw01014b-van-tbv01407b-van-tbn01001b",YES
2674,"TBW01010A/TBG01001B/TBW01014B/TBS04304B","TOTO","TBG01001B","Set sen tắm âm tường 2 đường nước nóng lạnh TOTO TBW01010A TBW01010A/TBG01001B/TBW01014B/TBS04304B","Set sen tắm TOTO TBG01001B kèm bát sen TBW01010A, bát sen TBW01014B, vòi sen TBS04304B","set-sen-tam-am-tuong-2-duong-nuoc-nong-lanh-toto-tbw01010a-tbw01010atbg01001btbw01014btbs04304b","set-sen-tam-toto-tbg01001b-kem-bat-sen-tbw01010a-bat-sen-tbw01014b-voi-sen-tbs04304b",YES
2124,"TBW01010A/TBW01016B/TBW01014B/TBG01303BA/TBN01001B","TOTO","TBG01303BA","Set sen tắm âm tường 1 đường nước nóng lạnh TOTO TBW01010A TBW01016B TBW01014B TBG01303BA TBN01001B TBW01010A/TBW01016B/TBW01014B/TBG01303BA/TBN01001B","Set sen tắm TOTO TBG01303BA kèm bát sen TBW01010A, bát sen TBW01016B, bát sen TBW01014B, van TBN01001B","set-sen-tam-am-tuong-1-duong-nuoc-nong-lanh-toto-tbw01010a-tbw01016b-tbw01014b-tbg01303ba-tbn01001b-tbw01010atbw01016btbw01014btbg01303batbn01001b","set-sen-tam-toto-tbg01303ba-kem-bat-sen-tbw01010a-bat-sen-tbw01016b-bat-sen-tbw01014b-van-tbn01001b",YES
2119,"TBW01010A/TBW01016B/TBW01014B/TBV01407B/TBN01001B","TOTO","TBW01010A","Set sen tắm âm tường 1 đường nước nhiệt độ TOTO TBW01010A TBW01016B TBW01014B TBV01407B TBN01001B TBW01010A/TBW01016B/TBW01014B/TBV01407B/TBN01001B","Set sen tắm TOTO TBW01010A kèm bát sen TBW01016B, bát sen TBW01014B, van TBV01407B, van TBN01001B","set-sen-tam-am-tuong-1-duong-nuoc-nhiet-do-toto-tbw01010a-tbw01016b-tbw01014b-tbv01407b-tbn01001b-tbw01010atbw01016btbw01014btbv01407btbn01001b","set-sen-tam-toto-tbw01010a-kem-bat-sen-tbw01016b-bat-sen-tbw01014b-van-tbv01407b-van-tbn01001b",YES
586,"TBW02002BA/TBG02302VA/TBW02017A","TOTO","TBG02302VA","Bộ sen cây nóng lạnh TOTO TBW02002BA TBG02302VA TBW02017A TBW02002BA/TBG02302VA/TBW02017A","Bộ sen cây nóng lạnh TOTO TBG02302VA kèm bát sen TBW02002BA, bát sen TBW02017A","bo-sen-cay-nong-lanh-toto-tbw02002ba-tbg02302va-tbw02017a-tbw02002batbg02302vatbw02017a","bo-sen-cay-nong-lanh-toto-tbg02302va-kem-bat-sen-tbw02002ba-bat-sen-tbw02017a",YES
575,"TBW02002BA/TBG04302VA/TBW02006A","TOTO","TBG04302VA","Bộ sen cây nóng lạnh TOTO TBW02002BA TBG04302VA TBW02006A TBW02002BA/TBG04302VA/TBW02006A","Bộ sen cây nóng lạnh TOTO TBG04302VA kèm bát sen TBW02002BA, bát sen TBW02006A","bo-sen-cay-nong-lanh-toto-tbw02002ba-tbg04302va-tbw02006a-tbw02002batbg04302vatbw02006a","bo-sen-cay-nong-lanh-toto-tbg04302va-kem-bat-sen-tbw02002ba-bat-sen-tbw02006a",YES
2670,"TBW02003A/TBG02001B/TBG02304BA/TBN01001B","TOTO","TBG02001B","Set sen tắm âm tường 2 đường nước nóng lạnh TOTO TBW02003A TBW02003A/TBG02001B/TBG02304BA/TBN01001B","Set sen tắm TOTO TBG02001B kèm bát sen TBW02003A, vòi sen TBG02304BA, van TBN01001B","set-sen-tam-am-tuong-2-duong-nuoc-nong-lanh-toto-tbw02003a-tbw02003atbg02001btbg02304batbn01001b","set-sen-tam-toto-tbg02001b-kem-bat-sen-tbw02003a-voi-sen-tbg02304ba-van-tbn01001b",YES
