sku,brand,subcategory,old_name,new_name,old_slug,new_slug,slug_changed
"AURESTOP 4.5P","Ariston","may-nuoc-nong","Máy nước nóng trực tiếp Aures Top Ariston AuresTop 4.5P AURESTOP 4.5P","Máy nước nóng trực tiếp Aures Top Ariston AuresTop 4.5P","may-nuoc-nong-truc-tiep-aures-top-ariston-aurestop-45p-aurestop-45p","may-nuoc-nong-truc-tiep-aures-top-ariston-aurestop-45p",YES
"KAIROS THERMO DR-2 150-1 N TT","Ariston","may-nuoc-nong","Máy nước nóng năng lượng mặt trời tấm phẳng Ariston KAIROS THERMO DR-2 KAIROS THERMO DR-2 150-1 N TT","Máy nước nóng năng lượng mặt trời tấm phẳng Ariston KAIROS THERMO DR-2","may-nuoc-nong-nang-luong-mat-troi-tam-phang-ariston-kairos-thermo-dr-2-kairos-thermo-dr-2-150-1-n-tt","may-nuoc-nong-nang-luong-mat-troi-tam-phang-ariston-kairos-thermo-dr-2",YES
"PC-3-E","Ariston","may-nuoc-nong","Bộ hỗ trợ nhiệt cho máy nước nóng năng lượng mặt trời dạng ống Ariston PC-3-E PC-3-E","Bộ hỗ trợ nhiệt cho máy nước nóng năng lượng mặt trời dạng ống Ariston PC-3-E","bo-ho-tro-nhiet-cho-may-nuoc-nong-nang-luong-mat-troi-dang-ong-ariston-pc-3-e-pc-3-e","bo-ho-tro-nhiet-cho-may-nuoc-nong-nang-luong-mat-troi-dang-ong-ariston-pc-3-e",YES
"VITALY 15","Ariston","may-nuoc-nong","Máy nước nóng gián tiếp Vitaly Ariston VITALY 15","Máy nước nóng gián tiếp Vitaly Ariston","may-nuoc-nong-gian-tiep-vitaly-ariston-vitaly-15","may-nuoc-nong-gian-tiep-vitaly-ariston",YES
"AT-15E","ATMOR","may-nuoc-nong","Máy nước nóng gián tiếp 15L ATMOR AT-15E (AT15E) AT-15E","Máy nước nóng gián tiếp 15L ATMOR AT-15E (AT15E)","may-nuoc-nong-gian-tiep-15l-atmor-at-15e-at15e-at-15e","may-nuoc-nong-gian-tiep-15l-atmor-at-15e-at15e",YES
"AT-30E","ATMOR","may-nuoc-nong","Máy nước nóng gián tiếp 30L ATMOR AT-30E (AT30E) AT-30E","Máy nước nóng gián tiếp 30L ATMOR AT-30E (AT30E)","may-nuoc-nong-gian-tiep-30l-atmor-at-30e-at30e-at-30e","may-nuoc-nong-gian-tiep-30l-atmor-at-30e-at30e",YES
"AT-30H","ATMOR","may-nuoc-nong","Máy nước nóng gián tiếp ATMOR AT-30H / AT-50H / AT-80H AT-30H","Máy nước nóng gián tiếp ATMOR AT-30H / AT-50H / AT-80H","may-nuoc-nong-gian-tiep-atmor-at-30h-at-50h-at-80h-at-30h","may-nuoc-nong-gian-tiep-atmor-at-30h-at-50h-at-80h",YES
"AT-368E","ATMOR","may-nuoc-nong","Máy nước nóng trực tiếp siêu mỏng 3.5kW ATMOR AT-368E (AT368E) AT-368E","Máy nước nóng trực tiếp siêu mỏng 3.5kW ATMOR AT-368E (AT368E)","may-nuoc-nong-truc-tiep-sieu-mong-35kw-atmor-at-368e-at368e-at-368e","may-nuoc-nong-truc-tiep-sieu-mong-35kw-atmor-at-368e-at368e",YES
"AT-378EP","ATMOR","may-nuoc-nong","Máy nước nóng trực tiếp siêu mỏng 4.5kW ATMOR AT-378EP (AT378EP) AT-378EP","Máy nước nóng trực tiếp siêu mỏng 4.5kW ATMOR AT-378EP (AT378EP)","may-nuoc-nong-truc-tiep-sieu-mong-45kw-atmor-at-378ep-at378ep-at-378ep","may-nuoc-nong-truc-tiep-sieu-mong-45kw-atmor-at-378ep-at378ep",YES
"AT-50EH","ATMOR","may-nuoc-nong","Máy nước nóng gián tiếp kiểu ngang ATMOR AT-30EH / AT-50EH / AT-80EH AT-50EH","Máy nước nóng gián tiếp kiểu ngang ATMOR AT-30EH / AT-50EH / AT-80EH","may-nuoc-nong-gian-tiep-kieu-ngang-atmor-at-30eh-at-50eh-at-80eh-at-50eh","may-nuoc-nong-gian-tiep-kieu-ngang-atmor-at-30eh-at-50eh-at-80eh",YES
